date,state,fips,cases,deaths
2020-10-09,Guam,66,3958,59
2020-10-09,Hawaii,15,13461,165
2020-10-09,Idaho,16,47674,506
2020-10-09,Illinois,17,317501,9207
2020-10-09,Indiana,18,133864,3761
2020-10-09,Iowa,19,98023,1454
2020-10-09,Kansas,20,67086,765
2020-10-09,Kentucky,21,80633,1283
2020-10-09,Louisiana,22,173406,5635
2020-10-09,Maine,23,5666,143
2020-10-09,Maryland,24,130652,3990
2020-10-09,Massachusetts,25,137701,9577
2020-10-09,Michigan,26,147880,7202
2020-10-09,Minnesota,27,109365,2174
2020-10-09,Mississippi,28,103681,3080
2020-10-09,Missouri,29,145034,2463
2020-10-09,Montana,30,17478,206
2020-10-09,Nebraska,31,50168,522
2020-10-09,Nevada,32,84785,1658
2020-10-09,New Hampshire,33,8970,450
2020-10-09,New Jersey,34,213801,16164
2020-10-09,New Mexico,35,32241,902
2020-10-09,New York,36,476422,32867
2020-10-09,North Carolina,37,227756,3768
2020-10-09,North Dakota,38,26044,325
2020-10-09,Northern Mariana Islands,69,75,2
2020-10-09,Ohio,39,166102,4994
2020-10-09,Oklahoma,40,97088,1091
2020-10-09,Oregon,41,36538,600
2020-10-09,Pennsylvania,42,174352,8387
2020-10-09,Puerto Rico,72,52892,720
2020-10-09,Rhode Island,44,26294,1130
2020-10-09,South Carolina,45,155676,3530
2020-10-09,South Dakota,46,27215,277
2020-10-09,Tennessee,47,207823,2702
2020-10-09,Texas,48,825912,16955
2020-10-09,Utah,49,83307,508
2020-10-09,Vermont,50,1846,58
2020-10-09,Virgin Islands,78,1324,20
2020-10-09,Virginia,51,156649,3344
2020-10-09,Washington,53,96837,2288
2020-10-09,West Virginia,54,17707,376
2020-10-09,Wisconsin,55,152831,1453
2020-10-09,Wyoming,56,7335,54
2020-10-10,Alabama,01,164526,2664
2020-10-10,Alaska,02,10350,56
2020-10-10,Arizona,04,224985,5759
2020-10-10,Arkansas,05,92220,1552
2020-10-10,California,06,854302,16568
2020-10-10,Colorado,08,78047,2121
2020-10-10,Connecticut,09,60038,4530
2020-10-10,Delaware,10,21998,653
2020-10-10,District of Columbia,11,15918,636
2020-10-10,Florida,12,728913,15185
2020-10-10,Georgia,13,335351,7223
2020-10-10,Guam,66,4025,60
2020-10-10,Hawaii,15,13532,167
2020-10-10,Idaho,16,47927,508
2020-10-10,Illinois,17,320283,9235
2020-10-10,Indiana,18,135789,3782
2020-10-10,Iowa,19,99099,1460
2020-10-10,Kansas,20,67193,768
2020-10-10,Kentucky,21,81630,1293
2020-10-10,Louisiana,22,173406,5635
2020-10-10,Maine,23,5696,143
2020-10-10,Maryland,24,131169,3995
2020-10-10,Massachusetts,25,138340,9587
2020-10-10,Michigan,26,149406,7221
2020-10-10,Minnesota,27,110881,2184
2020-10-10,Mississippi,28,104638,3096
2020-10-10,Missouri,29,148199,2483
2020-10-10,Montana,30,18118,209
2020-10-10,Nebraska,31,51887,525
2020-10-10,Nevada,32,85463,1659
2020-10-10,New Hampshire,33,9092,455
2020-10-10,New Jersey,34,214665,16171
2020-10-10,New Mexico,35,32722,907
2020-10-10,New York,36,477870,32875
2020-10-10,North Carolina,37,229959,3786
2020-10-10,North Dakota,38,26632,340
2020-10-10,Northern Mariana Islands,69,77,2
2020-10-10,Ohio,39,167458,4997
2020-10-10,Oklahoma,40,98621,1095
2020-10-10,Oregon,41,36925,600
2020-10-10,Pennsylvania,42,175804,8421
2020-10-10,Puerto Rico,72,53364,728
2020-10-10,Rhode Island,44,26294,1130
2020-10-10,South Carolina,45,156621,3551
2020-10-10,South Dakota,46,27947,286
2020-10-10,Tennessee,47,209593,2729
2020-10-10,Texas,48,829367,17019
2020-10-10,Utah,49,84697,512
2020-10-10,Vermont,50,1857,58
2020-10-10,Virgin Islands,78,1325,20
2020-10-10,Virginia,51,157905,3354
2020-10-10,Washington,53,97223,2289
2020-10-10,West Virginia,54,17913,381
2020-10-10,Wisconsin,55,155752,1470
2020-10-10,Wyoming,56,7455,54
2020-10-11,Alabama,01,165342,2664
2020-10-11,Alaska,02,10608,56
2020-10-11,Arizona,04,225575,5759
2020-10-11,Arkansas,05,92833,1569
2020-10-11,California,06,857076,16581
2020-10-11,Colorado,08,78752,2134
2020-10-11,Connecticut,09,60038,4530
2020-10-11,Delaware,10,22130,654
2020-10-11,District of Columbia,11,15984,637
2020-10-11,Florida,12,734483,15363
2020-10-11,Georgia,13,336586,7246
2020-10-11,Guam,66,4047,61
2020-10-11,Hawaii,15,13633,168
2020-10-11,Idaho,16,48155,508
2020-10-11,Illinois,17,322985,9245
2020-10-11,Indiana,18,137359,3789
2020-10-11,Iowa,19,99941,1462
2020-10-11,Kansas,20,67231,769
2020-10-11,Kentucky,21,82358,1295
2020-10-11,Louisiana,22,174587,5655
2020-10-11,Maine,23,5723,143
2020-10-11,Maryland,24,131853,3999
2020-10-11,Massachusetts,25,138903,9604
2020-10-11,Michigan,26,149448,7221
2020-10-11,Minnesota,27,112321,2194
2020-10-11,Mississippi,28,104932,3101
2020-10-11,Missouri,29,148481,2483
2020-10-11,Montana,30,18733,210
2020-10-11,Nebraska,31,52382,525
2020-10-11,Nevada,32,85922,1663
2020-10-11,New Hampshire,33,9143,456
2020-10-11,New Jersey,34,215416,16174
2020-10-11,New Mexico,35,32983,911
2020-10-11,New York,36,479013,32879
2020-10-11,North Carolina,37,231564,3791
2020-10-11,North Dakota,38,27269,343
2020-10-11,Northern Mariana Islands,69,77,2
2020-10-11,Ohio,39,168749,4999
2020-10-11,Oklahoma,40,99387,1098
2020-10-11,Oregon,41,37263,600
2020-10-11,Pennsylvania,42,176820,8426
2020-10-11,Puerto Rico,72,53671,730
2020-10-11,Rhode Island,44,26294,1130
2020-10-11,South Carolina,45,157406,3552
2020-10-11,South Dakota,46,28564,286
2020-10-11,Tennessee,47,211426,2738
2020-10-11,Texas,48,832342,17047
2020-10-11,Utah,49,85844,518
2020-10-11,Vermont,50,1868,58
2020-10-11,Virgin Islands,78,1325,20
2020-10-11,Virginia,51,158716,3358
2020-10-11,Washington,53,97527,2289
2020-10-11,West Virginia,54,18128,382
2020-10-11,Wisconsin,55,158426,1477
2020-10-11,Wyoming,56,7611,54
2020-10-12,Alabama,01,166076,2665
2020-10-12,Alaska,02,10805,56
2020-10-12,Arizona,04,226072,5759
2020-10-12,Arkansas,05,93487,1586
2020-10-12,California,06,859959,16594
2020-10-12,Colorado,08,79499,2144
2020-10-12,Connecticut,09,61377,4532
2020-10-12,Delaware,10,22289,656
2020-10-12,District of Columbia,11,16022,637
2020-10-12,Florida,12,736016,15411
2020-10-12,Georgia,13,339577,7259
2020-10-12,Guam,66,4139,61
2020-10-12,Hawaii,15,13675,168
2020-10-12,Idaho,16,48663,511
2020-10-12,Illinois,17,325755,9258
2020-10-12,Indiana,18,138933,3795
2020-10-12,Iowa,19,100451,1481
2020-10-12,Kansas,20,69158,774
2020-10-12,Kentucky,21,83074,1300
2020-10-12,Louisiana,22,174647,5669
2020-10-12,Maine,23,5752,143
2020-10-12,Maryland,24,132357,4003
2020-10-12,Massachusetts,25,139663,9617
2020-10-12,Michigan,26,151284,7227
2020-10-12,Minnesota,27,113492,2197
2020-10-12,Mississippi,28,105228,3101
2020-10-12,Missouri,29,149460,2484
2020-10-12,Montana,30,19205,212
2020-10-12,Nebraska,31,52839,529
2020-10-12,Nevada,32,86433,1670
2020-10-12,New Hampshire,33,9208,456
2020-10-12,New Jersey,34,215885,16175
2020-10-12,New Mexico,35,33362,915
2020-10-12,New York,36,480045,32896
2020-10-12,North Carolina,37,233059,3799
2020-10-12,North Dakota,38,27742,350
2020-10-12,Northern Mariana Islands,69,77,2
2020-10-12,Ohio,39,170179,5005
2020-10-12,Oklahoma,40,100184,1104
2020-10-12,Oregon,41,37472,600
2020-10-12,Pennsylvania,42,177844,8444
2020-10-12,Puerto Rico,72,54234,735
2020-10-12,Rhode Island,44,26294,1130
2020-10-12,South Carolina,45,158055,3559
2020-10-12,South Dakota,46,28925,288
2020-10-12,Tennessee,47,214245,2745
2020-10-12,Texas,48,836389,17073
2020-10-12,Utah,49,86879,524
2020-10-12,Vermont,50,1876,58
2020-10-12,Virgin Islands,78,1325,20
2020-10-12,Virginia,51,159570,3361
2020-10-12,Washington,53,98265,2292
2020-10-12,West Virginia,54,18281,385
2020-10-12,Wisconsin,55,160655,1488
2020-10-12,Wyoming,56,7802,54
2020-10-13,Alabama,01,167193,2665
2020-10-13,Alaska,02,10960,56
2020-10-13,Arizona,04,226749,5767
2020-10-13,Arkansas,05,94167,1611
2020-10-13,California,06,863614,16650
2020-10-13,Colorado,08,80414,2181
2020-10-13,Connecticut,09,61697,4533
2020-10-13,Delaware,10,22394,659
2020-10-13,District of Columbia,11,16068,637
2020-10-13,Florida,12,738741,15530
2020-10-13,Georgia,13,340758,7282
2020-10-13,Guam,66,4235,62
2020-10-13,Hawaii,15,13736,172
2020-10-13,Idaho,16,49987,514
2020-10-13,Illinois,17,329160,9288
2020-10-13,Indiana,18,140505,3822
2020-10-13,Iowa,19,101531,1491
2020-10-13,Kansas,20,69392,786
2020-10-13,Kentucky,21,83967,1318
2020-10-13,Louisiana,22,175329,5679
2020-10-13,Maine,23,5780,143
2020-10-13,Maryland,24,132839,4012
2020-10-13,Massachusetts,25,140412,9630
2020-10-13,Michigan,26,152842,7257
2020-10-13,Minnesota,27,114627,2204
2020-10-13,Mississippi,28,105941,3115
2020-10-13,Missouri,29,150496,2495
2020-10-13,Montana,30,19682,217
2020-10-13,Nebraska,31,53543,533
2020-10-13,Nevada,32,86970,1677
2020-10-13,New Hampshire,33,9279,456
2020-10-13,New Jersey,34,216873,16182
2020-10-13,New Mexico,35,33713,918
2020-10-13,New York,36,481436,32905
2020-10-13,North Carolina,37,234842,3849
2020-10-13,North Dakota,38,28250,362
2020-10-13,Northern Mariana Islands,69,77,2
2020-10-13,Ohio,39,171626,5017
2020-10-13,Oklahoma,40,101493,1119
2020-10-13,Oregon,41,37788,605
2020-10-13,Pennsylvania,42,179673,8458
2020-10-13,Puerto Rico,72,54540,738
2020-10-13,Rhode Island,44,26960,1139
2020-10-13,South Carolina,45,158883,3576
2020-10-13,South Dakota,46,29339,288
2020-10-13,Tennessee,47,215423,2768
2020-10-13,Texas,48,841863,17165
2020-10-13,Utah,49,87825,524
2020-10-13,Vermont,50,1886,58
2020-10-13,Virgin Islands,78,1328,20
2020-10-13,Virginia,51,160805,3372
2020-10-13,Washington,53,99311,2311
2020-10-13,West Virginia,54,18555,387
2020-10-13,Wisconsin,55,164137,1521
2020-10-13,Wyoming,56,7964,57
2020-10-14,Alabama,01,167977,2706
2020-10-14,Alaska,02,11103,60
2020-10-14,Arizona,04,227660,5772
2020-10-14,Arkansas,05,95246,1634
2020-10-14,California,06,867094,16752
2020-10-14,Colorado,08,81205,2186
2020-10-14,Connecticut,09,61861,4537
2020-10-14,Delaware,10,22465,660
2020-10-14,District of Columbia,11,16132,638
2020-10-14,Florida,12,741624,15594
2020-10-14,Georgia,13,342302,7298
2020-10-14,Guam,66,4310,62
2020-10-14,Hawaii,15,13834,182
2020-10-14,Idaho,16,50534,520
2020-10-14,Illinois,17,332124,9335
2020-10-14,Indiana,18,141670,3836
2020-10-14,Iowa,19,102905,1505
2020-10-14,Kansas,20,70665,838
2020-10-14,Kentucky,21,85278,1325
2020-10-14,Louisiana,22,176209,5695
2020-10-14,Maine,23,5816,143
2020-10-14,Maryland,24,133413,4022
2020-10-14,Massachusetts,25,140992,9647
2020-10-14,Michigan,26,154409,7270
2020-10-14,Minnesota,27,115996,2233
2020-10-14,Mississippi,28,106817,3140
2020-10-14,Missouri,29,154213,2598
2020-10-14,Montana,30,20321,225
2020-10-14,Nebraska,31,54467,536
2020-10-14,Nevada,32,87527,1694
2020-10-14,New Hampshire,33,9349,458
2020-10-14,New Jersey,34,217812,16191
2020-10-14,New Mexico,35,34290,921
2020-10-14,New York,36,482671,32916
2020-10-14,North Carolina,37,236812,3882
2020-10-14,North Dakota,38,28952,370
2020-10-14,Northern Mariana Islands,69,77,2
2020-10-14,Ohio,39,173665,5033
2020-10-14,Oklahoma,40,102615,1132
2020-10-14,Oregon,41,38175,609
2020-10-14,Pennsylvania,42,180956,8481
2020-10-14,Puerto Rico,72,55516,742
2020-10-14,Rhode Island,44,27164,1147
2020-10-14,South Carolina,45,159809,3593
2020-10-14,South Dakota,46,30215,291
2020-10-14,Tennessee,47,217140,2801
2020-10-14,Texas,48,847734,17276
2020-10-14,Utah,49,89018,529
2020-10-14,Vermont,50,1889,58
2020-10-14,Virgin Islands,78,1328,20
2020-10-14,Virginia,51,161610,3381
2020-10-14,Washington,53,100068,2319
2020-10-14,West Virginia,54,18818,391
2020-10-14,Wisconsin,55,167441,1549
2020-10-14,Wyoming,56,8177,57
2020-10-15,Alabama,01,169162,2756
2020-10-15,Alaska,02,11268,61
2020-10-15,Arizona,04,228748,5789
2020-10-15,Arkansas,05,96524,1645
2020-10-15,California,06,870380,16839
2020-10-15,Colorado,08,82443,2187
2020-10-15,Connecticut,09,62028,4540
2020-10-15,Delaware,10,22560,661
2020-10-15,District of Columbia,11,16166,638
2020-10-15,Florida,12,744980,15735
2020-10-15,Georgia,13,344093,7320
2020-10-15,Guam,66,4396,62
2020-10-15,Hawaii,15,13922,183
2020-10-15,Idaho,16,51471,521
2020-10-15,Illinois,17,336211,9392
2020-10-15,Indiana,18,143617,3864
2020-10-15,Iowa,19,104232,1516
2020-10-15,Kansas,20,70815,838
2020-10-15,Kentucky,21,86410,1341
2020-10-15,Louisiana,22,176952,5707
2020-10-15,Maine,23,5836,144
2020-10-15,Maryland,24,134042,4028
2020-10-15,Massachusetts,25,141579,9672
2020-10-15,Michigan,26,156926,7304
2020-10-15,Minnesota,27,117159,2252
2020-10-15,Mississippi,28,108139,3152
2020-10-15,Missouri,29,156142,2531
2020-10-15,Montana,30,21043,230
2020-10-15,Nebraska,31,55428,546
2020-10-15,Nevada,32,88081,1700
2020-10-15,New Hampshire,33,9426,463
2020-10-15,New Jersey,34,218783,16197
2020-10-15,New Mexico,35,34958,922
2020-10-15,New York,36,484135,32935
2020-10-15,North Carolina,37,239338,3899
2020-10-15,North Dakota,38,29658,375
2020-10-15,Northern Mariana Islands,69,80,2
2020-10-15,Ohio,39,175843,5038
2020-10-15,Oklahoma,40,103836,1143
2020-10-15,Oregon,41,38536,613
2020-10-15,Pennsylvania,42,182502,8496
2020-10-15,Puerto Rico,72,56085,743
2020-10-15,Rhode Island,44,27438,1149
2020-10-15,South Carolina,45,161106,3607
2020-10-15,South Dakota,46,31012,304
2020-10-15,Tennessee,47,219355,2836
2020-10-15,Texas,48,853517,17362
2020-10-15,Utah,49,90488,531
2020-10-15,Vermont,50,1903,58
2020-10-15,Virgin Islands,78,1329,21
2020-10-15,Virginia,51,162941,3388
2020-10-15,Washington,53,100838,2331
2020-10-15,West Virginia,54,19082,393
2020-10-15,Wisconsin,55,171480,1568
2020-10-15,Wyoming,56,8375,57
2020-10-16,Alabama,01,170374,2786
2020-10-16,Alaska,02,11496,62
2020-10-16,Arizona,04,229508,5806
2020-10-16,Arkansas,05,97539,1665
2020-10-16,California,06,874101,16901
2020-10-16,Colorado,08,83712,2196
2020-10-16,Connecticut,09,62830,4542
2020-10-16,Delaware,10,22724,662
2020-10-16,District of Columbia,11,16255,641
2020-10-16,Florida,12,748429,15829
2020-10-16,Georgia,13,345879,7382
2020-10-16,Guam,66,4507,64
2020-10-16,Hawaii,15,14007,184
2020-10-16,Idaho,16,52234,529
2020-10-16,Illinois,17,341219,9447
2020-10-16,Indiana,18,145915,3887
2020-10-16,Iowa,19,105746,1524
2020-10-16,Kansas,20,72509,859
2020-10-16,Kentucky,21,87764,1349
2020-10-16,Louisiana,22,177726,5727
2020-10-16,Maine,23,5865,145
2020-10-16,Maryland,24,134822,4032
2020-10-16,Massachusetts,25,142346,9702
2020-10-16,Michigan,26,159144,7320
2020-10-16,Minnesota,27,119449,2265
2020-10-16,Mississippi,28,109255,3160
2020-10-16,Missouri,29,158764,2550
2020-10-16,Montana,30,21674,235
2020-10-16,Nebraska,31,56724,556
2020-10-16,Nevada,32,88832,1707
2020-10-16,New Hampshire,33,9514,465
2020-10-16,New Jersey,34,219593,16202
2020-10-16,New Mexico,35,35770,928
2020-10-16,New York,36,485838,32944
2020-10-16,North Carolina,37,242032,3938
2020-10-16,North Dakota,38,30522,393
2020-10-16,Northern Mariana Islands,69,80,2
2020-10-16,Ohio,39,177991,5054
2020-10-16,Oklahoma,40,105308,1154
2020-10-16,Oregon,41,38947,620
2020-10-16,Pennsylvania,42,184185,8524
2020-10-16,Puerto Rico,72,56412,758
2020-10-16,Rhode Island,44,27691,1152
2020-10-16,South Carolina,45,162253,3615
2020-10-16,South Dakota,46,31805,307
2020-10-16,Tennessee,47,220099,2847
2020-10-16,Texas,48,859108,17454
2020-10-16,Utah,49,91966,539
2020-10-16,Vermont,50,1915,58
2020-10-16,Virgin Islands,78,1329,21
2020-10-16,Virginia,51,164124,3408
2020-10-16,Washington,53,101533,2338
2020-10-16,West Virginia,54,19580,396
2020-10-16,Wisconsin,55,175652,1588
2020-10-16,Wyoming,56,8665,57
2020-10-17,Alabama,01,171662,2788
2020-10-17,Alaska,02,11710,63
2020-10-17,Arizona,04,230412,5824
2020-10-17,Arkansas,05,98422,1684
2020-10-17,California,06,876257,16940
2020-10-17,Colorado,08,84804,2199
2020-10-17,Connecticut,09,62830,4542
2020-10-17,Delaware,10,22942,664
2020-10-17,District of Columbia,11,16334,641
2020-10-17,Florida,12,752473,15916
2020-10-17,Georgia,13,347468,7429
2020-10-17,Guam,66,4507,64
2020-10-17,Hawaii,15,14101,185
2020-10-17,Idaho,16,52582,532
2020-10-17,Illinois,17,344787,9474
2020-10-17,Indiana,18,148400,3918
2020-10-17,Iowa,19,106698,1528
2020-10-17,Kansas,20,72616,859
2020-10-17,Kentucky,21,88823,1363
2020-10-17,Louisiana,22,177726,5727
2020-10-17,Maine,23,5913,146
2020-10-17,Maryland,24,135463,4036
2020-10-17,Massachusetts,25,142930,9723
2020-10-17,Michigan,26,159259,7323
2020-10-17,Minnesota,27,121143,2270
2020-10-17,Mississippi,28,110006,3171
2020-10-17,Missouri,29,160654,2645
2020-10-17,Montana,30,22284,240
2020-10-17,Nebraska,31,57334,557
2020-10-17,Nevada,32,89848,1709
2020-10-17,New Hampshire,33,9625,466
2020-10-17,New Jersey,34,220527,16204
2020-10-17,New Mexico,35,36343,929
2020-10-17,New York,36,487626,32959
2020-10-17,North Carolina,37,244020,3955
2020-10-17,North Dakota,38,31266,404
2020-10-17,Northern Mariana Islands,69,86,2
2020-10-17,Ohio,39,180225,5067
2020-10-17,Oklahoma,40,106503,1168
2020-10-17,Oregon,41,39316,622
2020-10-17,Pennsylvania,42,185670,8535
2020-10-17,Puerto Rico,72,56650,761
2020-10-17,Rhode Island,44,27691,1152
2020-10-17,South Carolina,45,163214,3637
2020-10-17,South Dakota,46,32611,315
2020-10-17,Tennessee,47,222608,2875
2020-10-17,Texas,48,863534,17518
2020-10-17,Utah,49,93297,541
2020-10-17,Vermont,50,1926,58
2020-10-17,Virgin Islands,78,1335,21
2020-10-17,Virginia,51,165238,3422
2020-10-17,Washington,53,102054,2339
2020-10-17,West Virginia,54,19801,399
2020-10-17,Wisconsin,55,175652,1588
2020-10-17,Wyoming,56,8816,57
2020-10-18,Alabama,01,172626,2788
2020-10-18,Alaska,02,11934,63
2020-10-18,Arizona,04,231149,5827
2020-10-18,Arkansas,05,99066,1704
2020-10-18,California,06,878394,16979
2020-10-18,Colorado,08,85803,2199
2020-10-18,Connecticut,09,62830,4542
2020-10-18,Delaware,10,23093,665
2020-10-18,District of Columbia,11,16370,641
2020-10-18,Florida,12,755012,15966
2020-10-18,Georgia,13,348773,7460
2020-10-18,Guam,66,4507,64
2020-10-18,Hawaii,15,14183,186
2020-10-18,Idaho,16,53092,532
2020-10-18,Illinois,17,348870,9491
2020-10-18,Indiana,18,150005,3937
2020-10-18,Iowa,19,107334,1532
2020-10-18,Kansas,20,72722,859
2020-10-18,Kentucky,21,89538,1372
2020-10-18,Louisiana,22,178869,5750
2020-10-18,Maine,23,5939,146
2020-10-18,Maryland,24,136149,4037
2020-10-18,Massachusetts,25,143660,9737
2020-10-18,Michigan,26,159337,7323
2020-10-18,Minnesota,27,122865,2287
2020-10-18,Mississippi,28,110239,3171
2020-10-18,Missouri,29,162156,2648
2020-10-18,Montana,30,22821,241
2020-10-18,Nebraska,31,58068,557
2020-10-18,Nevada,32,90374,1711
2020-10-18,New Hampshire,33,9694,467
2020-10-18,New Jersey,34,221802,16211
2020-10-18,New Mexico,35,36788,934
2020-10-18,New York,36,489016,32972
2020-10-18,North Carolina,37,246116,3961
2020-10-18,North Dakota,38,31983,409
2020-10-18,Northern Mariana Islands,69,86,2
2020-10-18,Ohio,39,181787,5067
2020-10-18,Oklahoma,40,107299,1171
2020-10-18,Oregon,41,39532,622
2020-10-18,Pennsylvania,42,186772,8555
2020-10-18,Puerto Rico,72,57293,766
2020-10-18,Rhode Island,44,27691,1152
2020-10-18,South Carolina,45,163990,3650
2020-10-18,South Dakota,46,33269,323
2020-10-18,Tennessee,47,225126,2884
2020-10-18,Texas,48,868917,17541
2020-10-18,Utah,49,94394,544
2020-10-18,Vermont,50,1937,58
2020-10-18,Virgin Islands,78,1335,21
2020-10-18,Virginia,51,166138,3433
2020-10-18,Washington,53,102403,2339
2020-10-18,West Virginia,54,20081,399
2020-10-18,Wisconsin,55,175652,1588
2020-10-18,Wyoming,56,9025,57
2020-10-19,Alabama,01,173485,2789
2020-10-19,Alaska,02,12138,63
2020-10-19,Arizona,04,231933,5830
2020-10-19,Arkansas,05,99597,1714
2020-10-19,California,06,882665,16987
2020-10-19,Colorado,08,86727,2207
2020-10-19,Connecticut,09,64021,4554
2020-10-19,Delaware,10,23196,666
2020-10-19,District of Columbia,11,16395,641
2020-10-19,Florida,12,756719,16020
2020-10-19,Georgia,13,350654,7479
2020-10-19,Guam,66,4725,67
2020-10-19,Hawaii,15,14218,186
2020-10-19,Idaho,16,54123,535
2020-10-19,Illinois,17,352449,9520
2020-10-19,Indiana,18,151588,3960
2020-10-19,Iowa,19,108114,1548
2020-10-19,Kansas,20,74616,872
2020-10-19,Kentucky,21,90443,1381
2020-10-19,Louisiana,22,179070,5766
2020-10-19,Maine,23,5962,146
2020-10-19,Maryland,24,136643,4041
2020-10-19,Massachusetts,25,144488,9753
2020-10-19,Michigan,26,164055,7364
2020-10-19,Minnesota,27,124492,2292
2020-10-19,Mississippi,28,110592,3171
2020-10-19,Missouri,29,164249,2660
2020-10-19,Montana,30,23503,242
2020-10-19,Nebraska,31,58817,568
2020-10-19,Nevada,32,90978,1714
2020-10-19,New Hampshire,33,9746,468
2020-10-19,New Jersey,34,222994,16214
2020-10-19,New Mexico,35,37302,935
